"rank","title","authors","genre","price","price_avg","price_paperback","price_hardcover","pages","summary","details","url"
1,"White Nights Short Story","Fyodor Dostoevsky","Short Story","146–165",155.5,146,165,90," White Nights is a short story by Fyodor Dostoevsky that was published in 1848. Set in St. Petersburg, it is the story of a young man fighting his inner restlessness. A light and tender narrative, it delves into the torment and guilt of unrequited love. Both protagonists suffer from a deep sense of alienation that initially brings them together. A blend of romanticism and realism, the story appeals gently to the senses and feelings.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Pages amount 90 pages ✅ Summary - White Nights is a short story by Fyodor Dostoevsky that was published in 1848. Set in St. Petersburg, it is the story of a young man fighting his inner restlessness. A light and tender narrative, it delves into the torment and guilt of unrequited love. Both protagonists suffer from a deep sense of alienation that initially brings them together. A blend of romanticism and realism, the story appeals gently to the senses and feelings.","https://www.bookowlsbd.com/products/white-nights-short-story-by-fyodor-dostoevsky"
2,"The Metamorphosis","Franz Kafka","Fiction, Fantasy, Novel, Travel, Action","146–300",223,146,300,122," ""The Metamorphosis"" by Franz Kafka follows the bizarre transformation of Gregor Samsa, a traveling salesman, into a giant insect. Waking up one morning to find himself transformed, Gregor struggles to adapt to his new insectile form while dealing with the reactions of his family, who grow increasingly repulsed and distant. The novella explores themes of isolation, alienation, and the absurdity of human existence, offering a profound meditation on the human condition and the nature of identity.","✅  premium off-white cream pages  ✅ Stitched binding  ✅ Matte cover  ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre - Fantasy Fiction✅ 122 pages ✅ Summary - ""The Metamorphosis"" by Franz Kafka follows the bizarre transformation of Gregor Samsa, a traveling salesman, into a giant insect. Waking up one morning to find himself transformed, Gregor struggles to adapt to his new insectile form while dealing with the reactions of his family, who grow increasingly repulsed and distant. The novella explores themes of isolation, alienation, and the absurdity of human existence, offering a profound meditation on the human condition and the nature of identity.","https://www.bookowlsbd.com/products/the-metamorphosis-by-franz-kafka-premium-copy-price-in-bangladesh"
3,"The Stranger","Albert Camus","Fiction, Novel, Philosophy","188–242",215,188,242,91," ""The Stranger"" by Albert Camus follows the story of Meursault, an emotionally detached and indifferent Algerian who becomes embroiled in a senseless act of violence. The novel explores themes of existentialism, the absurdity of human existence, and the consequences of living without conforming to societal expectations. Meursault's detached demeanor and the novel's exploration of existential philosophy contribute to its enduring impact on literature and philosophy.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre - Absurdist Fiction, Philosophical Fiction.✅ 91 pages ✅ summary - ""The Stranger"" by Albert Camus follows the story of Meursault, an emotionally detached and indifferent Algerian who becomes embroiled in a senseless act of violence. The novel explores themes of existentialism, the absurdity of human existence, and the consequences of living without conforming to societal expectations. Meursault's detached demeanor and the novel's exploration of existential philosophy contribute to its enduring impact on literature and philosophy.","https://www.bookowlsbd.com/products/the-stranger-by-albert-camus"
4,"As Long As the Lemon Trees Grow Book","Zoulfa Katouh","Fiction, Novel","255–448",351.5,255,448,315," ""As Long As the Lemon Trees Grow"" is a standalone contemporary novel that tells the story of Salma, a young woman from a Palestinian village who faces personal and cultural challenges. The book explores her journey of self-discovery, relationships, and the pursuit of her dreams against the backdrop of her Palestinian heritage and the complexities of her life. It's a story of identity, family, and resilience, offering a unique perspective on cultural and personal exploration.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre -Fiction, Contemporary Fiction. ✅ 315 pages ✅ summary - ""As Long As the Lemon Trees Grow"" is a standalone contemporary novel that tells the story of Salma, a young woman from a Palestinian village who faces personal and cultural challenges. The book explores her journey of self-discovery, relationships, and the pursuit of her dreams against the backdrop of her Palestinian heritage and the complexities of her life. It's a story of identity, family, and resilience, offering a unique perspective on cultural and personal exploration.","https://www.bookowlsbd.com/products/as-long-as-the-lemon-trees-grow-book-by-zoulfa-katouh-premium-copy-price-in-bangladesh"
5,"Notes from Underground Novel","Fyodor Dostoevsky","Fiction, Novel","174–217",195.5,174,217,151," ""Notes from Underground"" by Fyodor Dostoevsky is a novella that delves into the psyche of its unnamed narrator, a bitter and isolated civil servant living in St. Petersburg, Russia. The story is presented as the narrator's rambling, introspective, and sometimes contradictory thoughts, providing a glimpse into his inner turmoil and alienation from society. Dostoevsky's work is a critical exploration of existential and psychological themes, offering a profound character study that reflects on the human condition, free will, and the consequences of modernity.","✅  Premium Off-White Cream Pages ✅ Stitched Binding ✅ Matte Cover ✅ Local Premium Copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre - Existentialist Fiction, Psychological Fiction, Philosophical Fiction ✅ 151 pages ✅ summary - ""Notes from Underground"" by Fyodor Dostoevsky is a novella that delves into the psyche of its unnamed narrator, a bitter and isolated civil servant living in St. Petersburg, Russia. The story is presented as the narrator's rambling, introspective, and sometimes contradictory thoughts, providing a glimpse into his inner turmoil and alienation from society. Dostoevsky's work is a critical exploration of existential and psychological themes, offering a profound character study that reflects on the human condition, free will, and the consequences of modernity.","https://www.bookowlsbd.com/products/notes-from-underground-novel-by-fyodor-dostoevsky-premium-copy-price-in-bangladesh"
6,"The Bell Jar","Sylvia Plath","Fiction, Classic","141–155",148,141,155,229," The Bell Jar chronicles the crack-up of Esther Greenwood: brilliant, beautiful, enormously talented, and successful, but slowly going under—maybe for the last time. Sylvia Plath masterfully draws the reader into Esther's breakdown with such intensity that Esther's insanity becomes completely real and even rational, as probable and accessible an experience as going to the movies. Such deep penetration into the dark and harrowing corners of the psyche is an extraordinary accomplishment and has made The Bell Jar a haunting American classic","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre - Fiction, Feminism ✅ 229 pages ✅ summary - The Bell Jar chronicles the crack-up of Esther Greenwood: brilliant, beautiful, enormously talented, and successful, but slowly going under—maybe for the last time. Sylvia Plath masterfully draws the reader into Esther's breakdown with such intensity that Esther's insanity becomes completely real and even rational, as probable and accessible an experience as going to the movies. Such deep penetration into the dark and harrowing corners of the psyche is an extraordinary accomplishment and has made The Bell Jar a haunting American classic","https://www.bookowlsbd.com/products/copy-of-i-love-you-so-mochi-by-sarah-kuhn"
7,"Crime and Punishment Novel","Fyodor Dostoevsky","Fiction, Classic, Novel, Crime","237–328",282.5,237,328,531," ""Crime and Punishment"" follows the story of Rodion Raskolnikov, a destitute and deeply troubled former student living in St. Petersburg. Raskolnikov formulates a theory that some individuals are superior and therefore have the right to commit crimes for the greater good of society. Fueled by this ideology, he decides to test his theory by murdering a pawnbroker. As the novel unfolds, Raskolnikov grapples with the psychological and moral consequences of his crime. He becomes entangled with a complex cast of characters, including Sonia, a devout and impoverished young woman, and the clever investigator Porfiry. The narrative explores themes of morality, guilt, redemption, and the human condition, offering a profound and introspective examination of the consequences of crime on the individual psyche. ""Crime and Punishment"" is considered a classic in world literature and a masterpiece of psychological fiction.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre - ✅ 531 pages✅ summary - ""Crime and Punishment"" follows the story of Rodion Raskolnikov, a destitute and deeply troubled former student living in St. Petersburg. Raskolnikov formulates a theory that some individuals are superior and therefore have the right to commit crimes for the greater good of society. Fueled by this ideology, he decides to test his theory by murdering a pawnbroker. As the novel unfolds, Raskolnikov grapples with the psychological and moral consequences of his crime. He becomes entangled with a complex cast of characters, including Sonia, a devout and impoverished young woman, and the clever investigator Porfiry. The narrative explores themes of morality, guilt, redemption, and the human condition, offering a profound and introspective examination of the consequences of crime on the individual psyche. ""Crime and Punishment"" is considered a classic in world literature and a masterpiece of psychological fiction.","https://www.bookowlsbd.com/products/copy-of-the-seven-deaths-of-evelyn-hardcastle-novel-by-stuart-turton"
8,"Atomic Habits","James Clear","Self Help, Self-Help, Action","172–311",241.5,172,311,254," ""Atomic Habits"" by James Clear is a self-help book that provides practical strategies for building good habits and breaking bad ones. Clear explores the science of habit formation and offers actionable advice on how to make tiny changes, or atomic habits, that can lead to significant improvements in one's life. By focusing on small, consistent changes and understanding the power of habits, readers can transform their behavior and achieve long-lasting positive results. The book emphasizes the importance of mindset, environment, and routine in shaping habits, providing readers with a clear framework for personal and professional growth.","✅  Premium Off-White Cream Pages ✅ Stitched Binding ✅ Matte Cover ✅ Local Premium Copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre - Self Help books✅ 254 pages ✅ Summary - ""Atomic Habits"" by James Clear is a self-help book that provides practical strategies for building good habits and breaking bad ones. Clear explores the science of habit formation and offers actionable advice on how to make tiny changes, or atomic habits, that can lead to significant improvements in one's life. By focusing on small, consistent changes and understanding the power of habits, readers can transform their behavior and achieve long-lasting positive results. The book emphasizes the importance of mindset, environment, and routine in shaping habits, providing readers with a clear framework for personal and professional growth.","https://www.bookowlsbd.com/products/atomic-habits-by-james-clear-premium-copy-price-in-bangladesh"
9,"The Picture of Dorian Gray","Oscar Wilde","Fiction, Novel, Action","250–288",269,250,288,197," In ""The Picture of Dorian Gray"" by Oscar Wilde, a young and handsome man named Dorian Gray becomes the subject of a portrait painted by the talented artist Basil Hallward. Dorian's friend, Lord Henry Wotton, influences him to embrace a hedonistic lifestyle, valuing youth and beauty above all else. As Dorian indulges in a life of excess and vice, he remains untouched by the passage of time and the consequences of his actions, while his portrait ages and reflects the true nature of his soul. The novel delves into themes of vanity, moral corruption, and the consequences of one's choices, offering a thought-provoking exploration of human nature and the pursuit of eternal youth and pleasure.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre - Psychological Fiction ✅ 197 pages ✅ Summary - In ""The Picture of Dorian Gray"" by Oscar Wilde, a young and handsome man named Dorian Gray becomes the subject of a portrait painted by the talented artist Basil Hallward. Dorian's friend, Lord Henry Wotton, influences him to embrace a hedonistic lifestyle, valuing youth and beauty above all else. As Dorian indulges in a life of excess and vice, he remains untouched by the passage of time and the consequences of his actions, while his portrait ages and reflects the true nature of his soul. The novel delves into themes of vanity, moral corruption, and the consequences of one's choices, offering a thought-provoking exploration of human nature and the pursuit of eternal youth and pleasure.","https://www.bookowlsbd.com/products/the-picture-of-dorian-gray-by-oscar-wilde-premium-copy-price-in-bangladesh"
10,"Days at the Morisaki Bookshop: A Novel Book","Satoshi Yagisawa","Fiction, Novel","252–335",293.5,252,335,131," ""Days at the Morisaki Bookshop"" by Satoshi Yagisawa is a standalone novel. The book offers a glimpse into the life of Morisaki, a small and cozy bookshop owner, and the people who visit his shop. Through a series of interconnected stories, the novel explores the power of books to connect people, heal wounds, and provide solace in their lives. It's a heartwarming and introspective tale for book lovers and those who appreciate the magic of literature.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre - Contemporary Fiction, Literary Fiction.✅ 131 pages ✅ summary - ""Days at the Morisaki Bookshop"" by Satoshi Yagisawa is a standalone novel. The book offers a glimpse into the life of Morisaki, a small and cozy bookshop owner, and the people who visit his shop. Through a series of interconnected stories, the novel explores the power of books to connect people, heal wounds, and provide solace in their lives. It's a heartwarming and introspective tale for book lovers and those who appreciate the magic of literature.","https://www.bookowlsbd.com/products/days-at-the-morisaki-bookshop-a-novel-book-by-satoshi-yagisawa-premium-copy-price-in-bangladesh"
